Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n/50V","C_0805_2012Metric",66.600000,-99.700000,180.000000,top
"C2","100n/50V","C_0805_2012Metric",148.000000,-130.400000,-90.000000,top
"C3","100n/50V","C_0805_2012Metric",62.700000,-99.700000,0.000000,top
"C4","100n/50V","C_0805_2012Metric",63.200000,-113.500000,0.000000,top
"D1","LED","LED_0603_1608Metric",123.100000,-112.200000,90.000000,top
"D2","LY323DC24","D_SOD-323",146.700000,-99.600000,180.000000,top
"D3","LY323DC24","D_SOD-323",142.100000,-132.900000,180.000000,top
"D4","LY323DC24","D_SOD-323",124.700000,-105.100000,90.000000,top
"D5","LY323DC24","D_SOD-323",130.700000,-132.200000,180.000000,top
"D6","SS24B","D_SMB",117.600000,-110.700000,180.000000,top
"D7","SS24B","D_SMB",117.650000,-105.400000,0.000000,top
"D8","SS24B","D_SMB",109.200000,-110.700000,0.000000,top
"D9","SS24B","D_SMB",109.150000,-105.400000,180.000000,top
"D10","LY323DC24","D_SOD-323",146.700000,-101.700000,180.000000,top
"D11","LY323DC24","D_SOD-323",145.700000,-133.400000,180.000000,top
"D12","LY323DC24","D_SOD-323",122.600000,-105.100000,90.000000,top
"D13","LY323DC24","D_SOD-323",135.800000,-132.400000,180.000000,top
"D14","SS24B","D_SMB",101.075000,-110.875000,180.000000,top
"D15","SS24B","D_SMB",101.125000,-105.575000,0.000000,top
"D16","SS24B","D_SMB",92.675000,-110.875000,0.000000,top
"D17","SS24B","D_SMB",92.625000,-105.575000,180.000000,top
"D18","LY323DC24","D_SOD-323",70.700000,-117.050000,90.000000,top
"D22","SS24B","D_SMB",84.450000,-110.850000,180.000000,top
"D23","SS24B","D_SMB",84.500000,-105.550000,0.000000,top
"D24","SS24B","D_SMB",76.050000,-110.850000,0.000000,top
"D25","SS24B","D_SMB",76.000000,-105.550000,180.000000,top
"D26","D","D_SOD-523",147.800000,-104.200000,90.000000,top
"D27","D","D_SOD-523",138.050000,-129.850000,-90.000000,top
"D28","D","D_SOD-523",136.150000,-104.250000,90.000000,top
"D29","D","D_SOD-523",130.900000,-129.750000,90.000000,top
"D30","D","D_SOD-523",143.450000,-104.300000,90.000000,top
"D31","D","D_SOD-523",140.500000,-129.200000,180.000000,top
"D32","D","D_SOD-523",132.050000,-104.150000,90.000000,top
"D33","D","D_SOD-523",128.650000,-129.250000,180.000000,top
"D34","D","D_SOD-523",138.300000,-103.800000,-90.000000,top
"D35","D","D_SOD-523",143.050000,-130.000000,-90.000000,top
"D36","D","D_SOD-523",130.450000,-104.150000,90.000000,top
"D37","D","D_SOD-523",136.100000,-129.850000,90.000000,top
"D38","D","D_SOD-523",140.450000,-104.950000,0.000000,top
"D39","D","D_SOD-523",145.300000,-129.200000,180.000000,top
"D40","D","D_SOD-523",128.250000,-104.900000,0.000000,top
"D41","D","D_SOD-523",133.800000,-129.300000,180.000000,top
"Q1","IRF7343","SO-8_3.9x4.9mm_P1.27mm",116.650000,-117.600000,90.000000,top
"Q2","IRF7343","SO-8_3.9x4.9mm_P1.27mm",110.000000,-117.600000,90.000000,top
"Q3","IRF7343","SO-8_3.9x4.9mm_P1.27mm",100.125000,-117.775000,90.000000,top
"Q4","IRF7343","SO-8_3.9x4.9mm_P1.27mm",93.475000,-117.775000,90.000000,top
"Q5","IRF7343","SO-8_3.9x4.9mm_P1.27mm",83.500000,-117.750000,90.000000,top
"Q6","IRF7343","SO-8_3.9x4.9mm_P1.27mm",76.850000,-117.750000,90.000000,top
"R1","470","R_0402_1005Metric",122.500000,-110.100000,180.000000,top
"R2","120","R_0402_1005Metric",120.400000,-132.600000,180.000000,top
"R3","10k","R_0402_1005Metric",63.600000,-109.400000,0.000000,top
"R4","120","R_0402_1005Metric",120.100000,-129.500000,180.000000,top
"R5","10k","R_0402_1005Metric",65.700000,-109.400000,0.000000,top
"R6","10k","R_0402_1005Metric",108.850000,-123.710000,90.000000,top
"R7","10k","R_0402_1005Metric",113.400000,-122.000000,180.000000,top
